process_create_count,process_terminated_count,file_create_count,file_creation_time_changed,registry_write_count,pipe_create_count,network_connection_count,dns_query_count,file_activity_rate,process_activity_rate,network_activity_rate,registry_activity_rate,pipe_activity_rate,unique_extensions_written,unique_directories_touched,known_encrypted_ext_count,file_operation_ratio,file_name_entropy,average_file_path_length,suspicious_path_ratio,network_unique_destinations,label
0,0,37,0,0,0,0,0,3.576024859805534,0.0,0.0,0.0,0.0,1,22,22,0.9864900719037485,2.794852862189197,67.1052786468877,1.0,0,ransomware
1,0,0,0,0,0,3,2,0.0,0.10357097595226974,0.3051249855227777,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
0,0,0,0,0,0,3,2,0.0,0.0,0.3193913670084203,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
1,0,0,3,1,0,0,0,0.34744908973958105,0.10613026518570479,0.0,0.09471710008256572,0.0,1,3,0,0.6380594989892168,2.486882895663288,69.59832458735816,0.9568242089351687,0,good
0,0,37,0,0,0,0,0,3.3368494344296153,0.0,0.0,0.0,0.0,1,20,21,0.8773899638654495,2.7759193735638195,62.83932919865924,0.9857835333404552,0,ransomware
0,0,36,0,0,0,0,0,3.574646353135578,0.0,0.0,0.0,0.0,1,22,22,0.9201698323102674,3.1038219238954214,68.21756447597195,0.9608169588871212,0,ransomware
0,0,37,0,0,0,0,0,3.7114508893063665,0.0,0.0,0.0,0.0,1,20,22,1.0,2.4966168994341262,67.69013162467837,1.0,0,ransomware
0,0,0,0,0,0,3,2,0.0,0.0,0.28068641142537326,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
0,0,37,0,0,0,0,0,3.713896436506971,0.0,0.0,0.0,0.0,1,21,18,0.9216918322502436,3.031249364972492,65.33748883709059,1.0,0,ransomware
0,0,0,0,0,0,2,1,0.0,0.0,0.2142577170894196,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
1,0,0,0,0,0,17,1,0.0,0.104688535338677,2.007753648742404,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,6,good
0,0,0,0,0,0,4,0,0.0,0.0,0.3858270487522402,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
0,0,36,0,0,0,0,0,3.4914210230196367,0.0,0.0,0.0,0.0,1,20,18,1.0,2.9642641609066236,64.19994334772196,0.8733340152100988,0,ransomware
0,0,40,0,0,0,0,0,3.8072211036804555,0.0,0.0,0.0,0.0,1,19,19,1.0,2.611933469476673,71.48112675360183,1.0,0,ransomware
0,0,30,0,0,0,0,0,3.7983855585443127,0.0,0.0,0.0,0.0,1,18,18,1.0,3.026609760966209,65.40125584339062,0.9205914720680891,0,ransomware
0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,good
0,0,34,0,0,0,0,0,3.7753637810105527,0.0,0.0,0.0,0.0,1,17,22,0.8631877372148842,2.8646881234359705,62.451466782168765,1.0,0,ransomware
0,0,38,0,0,0,0,0,4.202541679148866,0.0,0.0,0.0,0.0,1,19,19,1.0,2.7243693105260784,67.26838904523827,0.9984672319394143,0,ransomware
0,0,0,0,0,0,3,0,0.0,0.0,0.27080786400404605,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,good
0,0,0,0,0,0,4,0,0.0,0.0,0.3914763625558007,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,good
1,0,0,2,1,0,0,0,0.21242923869894148,0.09914894196060368,0.0,0.09082729467597597,0.0,0,2,0,0.49085636957064616,1.419820803972092,58.05523155396188,0.9812082919476599,0,good
0,0,0,0,0,0,3,0,0.0,0.0,0.3230021071209424,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,good
0,0,35,0,0,0,0,0,4.136429621008641,0.0,0.0,0.0,0.0,1,18,20,1.0,2.8748878401188214,64.6578211921833,1.0,0,ransomware
0,0,39,0,0,0,0,0,3.9350677639819183,0.0,0.0,0.0,0.0,1,19,18,1.0,2.621656167237895,70.13167007250588,0.9864340260178311,0,ransomware
1,0,0,0,2,0,0,0,0.0,0.08974689537328116,0.0,0.18820612724158509,0.0,0,0,0,0.0,0.0,0.0,0.0,0,good
0,0,33,0,0,0,0,0,3.8563492209486485,0.0,0.0,0.0,0.0,1,23,21,0.8314985119267964,2.86004682271019,66.54592842088445,0.9563551659995224,0,ransomware
0,0,35,0,0,0,0,0,3.355777693842998,0.0,0.0,0.0,0.0,1,17,20,0.9663424002441304,3.042935132738611,73.58377337236823,0.9844700837484267,0,ransomware
0,0,32,0,0,0,0,0,3.8034574267042855,0.0,0.0,0.0,0.0,1,21,18,0.9756561647488929,3.0786241215639842,74.4331472412672,1.0,0,ransomware
0,0,41,0,0,0,0,0,3.43261727572287,0.0,0.0,0.0,0.0,1,21,19,0.9871379185730954,2.936027821685009,74.86254249480858,1.0,0,ransomware
1,0,0,0,0,0,0,2,0.0,0.1072840291961559,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,good
0,0,0,1,0,0,52,0,0.09839307179945117,0.0,4.9649460077292655,0.0,0.0,1,1,0,0.02129184471618992,4.1958399228336,81.19582026749121,1.0,10,good
0,0,34,0,0,0,0,0,3.2424218639080213,0.0,0.0,0.0,0.0,1,19,20,1.0,2.8105037325478412,66.41869082280913,0.944615590633189,0,ransomware
